Match ID,Hero,Kills,Deaths,Assists,KDA,XP/min,Gold/min,Hero Damage,Tower Damage,Hero Healing,Last Hits,Duration,Result
7112138813,15,Razor,12,11,16,2.5454545454545454,767,472,23861,2018,0,171,2613,Win
7110870018,53,Nature's Prophet,6,8,13,2.375,574,566,21264,5180,0,324,2522,Loss
7109347615,49,Dragon Knight,4,9,23,3.0,778,463,26773,1681,0,210,3011,Loss
7109294719,48,Luna,7,9,14,2.3333333333333335,676,545,33509,3245,0,365,2947,Loss
7109167159,36,Necrophos,11,5,12,4.6,757,759,46457,2233,4041,467,3051,Win
7109095163,53,Nature's Prophet,3,16,19,1.375,760,608,22244,4929,0,445,3527,Loss
7107421369,63,Weaver,10,2,13,11.5,780,562,26615,7333,0,281,2680,Win
7106003560,36,Necrophos,7,7,16,3.2857142857142856,757,524,20181,611,7658,332,3722,Loss
7094948608,49,Dragon Knight,3,1,4,7.0,422,437,6816,988,0,78,997,Win
7094222157,9,Mirana,6,3,17,7.666666666666667,772,449,11885,1975,0,137,2542,Win
7093996693,53,Nature's Prophet,1,10,11,1.2,691,627,24878,10957,0,472,3092,Loss
7093525452,60,Night Stalker,10,9,25,3.888888888888889,737,556,31128,5568,0,322,3836,Win
7092620881,63,Weaver,6,6,13,3.1666666666666665,805,490,23090,5095,0,209,2694,Win
7092556730,102,Abaddon,9,10,18,2.7,672,456,38384,2002,2556,278,3085,Loss
7092475448,49,Dragon Knight,5,9,7,1.3333333333333333,469,387,14902,1001,0,176,2500,Loss
7041439074,9,Mirana,5,10,28,3.3,474,339,17539,1991,0,160,3531,Loss
7037337647,63,Weaver,20,7,18,5.428571428571429,878,744,54898,10822,0,466,3452,Win
7037058317,9,Mirana,13,9,17,3.3333333333333335,748,490,28539,2927,0,236,3154,Loss
7035710992,54,Lifestealer,10,4,7,4.25,529,557,10350,7704,0,215,2132,Win
7035652499,53,Nature's Prophet,5,7,28,4.714285714285714,555,509,15884,9491,195,188,2426,Win
